year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county
2012,94512,1070,1230,1720,2120,20.58,23.65,33.08,40.77,Birds Landing,Solano County
2012,94513,1500,1780,2410,2990,28.85,34.23,46.35,57.5,Brentwood,Contra Costa County
2012,94514,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Byron,Contra Costa County
2012,94517,1610,1910,2590,3210,30.96,36.73,49.81,61.73,Clayton,Contra Costa County
2012,94518,1380,1640,2220,2750,26.54,31.54,42.69,52.88,Concord,Contra Costa County
2012,94519,1420,1680,2280,2820,27.31,32.31,43.85,54.23,Concord,Contra Costa County
2012,94520,1110,1310,1780,2200,21.35,25.19,34.23,42.31,Concord,Contra Costa County
2012,94521,1260,1490,2020,2500,24.23,28.65,38.85,48.08,Concord,Contra Costa County
2012,94523,1390,1650,2240,2770,26.73,31.73,43.08,53.27,Pleasant Hill,Contra Costa County
2012,94525,880,1040,1410,1750,16.92,20,27.12,33.65,Crockett,Contra Costa County
2012,94526,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Danville,Contra Costa County
2012,94528,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Diablo,Contra Costa County
2012,94530,1350,1600,2170,2690,25.96,30.77,41.73,51.73,El Cerrito,Contra Costa County
2012,94531,1790,2120,2870,3560,34.42,40.77,55.19,68.46,Antioch,Contra Costa County
2012,94533,990,1140,1600,1970,19.04,21.92,30.77,37.88,Fairfield,Solano County
2012,94535,1460,1670,2340,2880,28.08,32.12,45,55.38,Travis Afb,Solano County
2012,94536,1410,1670,2260,2800,27.12,32.12,43.46,53.85,Fremont,Alameda County
2012,94538,1470,1740,2360,2920,28.27,33.46,45.38,56.15,Fremont,Alameda County
2012,94539,1660,1970,2670,3310,31.92,37.88,51.35,63.65,Fremont,Alameda County
2012,94541,1160,1370,1860,2300,22.31,26.35,35.77,44.23,Hayward,Alameda County
2012,94542,1310,1550,2100,2600,25.19,29.81,40.38,50,Hayward,Alameda County
2012,94544,1250,1480,2010,2480,24.04,28.46,38.65,47.69,Hayward,Alameda County
2012,94545,1350,1600,2170,2690,25.96,30.77,41.73,51.73,Hayward,Alameda County
2012,94546,1210,1430,1940,2400,23.27,27.5,37.31,46.15,Castro Valley,Alameda County
2012,94547,1670,1980,2680,3320,32.12,38.08,51.54,63.85,Hercules,Contra Costa County
2012,94549,1470,1740,2360,2920,28.27,33.46,45.38,56.15,Lafayette,Contra Costa County
2012,94550,1320,1560,2120,2620,25.38,30,40.77,50.38,Livermore,Alameda County
2012,94552,1820,2160,2930,3630,35,41.54,56.35,69.81,Castro Valley,Alameda County
2012,94553,1200,1420,1930,2380,23.08,27.31,37.12,45.77,Martinez,Contra Costa County
2012,94555,1620,1920,2600,3220,31.15,36.92,50,61.92,Fremont,Alameda County
2012,94556,1740,2060,2790,3460,33.46,39.62,53.65,66.54,Moraga,Contra Costa County
2012,94558,1020,1320,1830,2070,19.62,25.38,35.19,39.81,Napa,Napa County
2012,94559,950,1230,1700,1930,18.27,23.65,32.69,37.12,Napa,Napa County
2012,94560,1410,1670,2260,2800,27.12,32.12,43.46,53.85,Newark,Alameda County
2012,94561,1570,1860,2520,3120,30.19,35.77,48.46,60,Oakley,Contra Costa County
2012,94563,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Orinda,Contra Costa County
2012,94564,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Pinole,Contra Costa County
2012,94565,1230,1460,1980,2450,23.65,28.08,38.08,47.12,Pittsburg,Contra Costa County
2012,94566,1410,1670,2260,2800,27.12,32.12,43.46,53.85,Pleasanton,Alameda County
2012,94568,1670,1980,2680,3320,32.12,38.08,51.54,63.85,Dublin,Alameda County
2012,94569,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Port Costa,Contra Costa County
2012,94571,770,940,1360,1550,14.81,18.08,26.15,29.81,Rio Vista,Solano County
2012,94572,890,1060,1440,1780,17.12,20.38,27.69,34.23,Rodeo,Contra Costa County
2012,94577,1110,1320,1790,2220,21.35,25.38,34.42,42.69,San Leandro,Alameda County
2012,94578,1100,1300,1760,2180,21.15,25,33.85,41.92,San Leandro,Alameda County
